ID;n_adults;n_children;weekend_nights;week_nights;meal_plan;car_parking_space;room_type;lead_time;year;month;date;market_segment;repeated_guest;previous_cancellations;previous_bookings_not_canceled;avg_room_price;special_requests;status
INN34536;2;0;1;2;Meal Plan 1;0;Room_Type 1;273;2018;6;24;Online;0;0;0;94.5;0;1
INN31580;1;0;0;1;Meal Plan 1;0;Room_Type 1;21;2018;2;11;Online;0;0;0;85.0;0;1
INN30519;2;0;2;3;Meal Plan 1;0;Room_Type 1;25;2017;11;22;Offline;0;0;0;65.0;0;0
INN19113;2;0;0;4;Meal Plan 1;0;Room_Type 1;47;2018;11;16;Online;0;0;0;88.4;1;0
INN13921;2;0;0;1;Not Selected;0;Room_Type 1;68;2018;9;7;Online;0;0;0;87.3;1;1
INN30605;2;0;2;2;Meal Plan 1;0;Room_Type 4;52;2018;12;9;Online;0;0;0;96.9;1;0
INN02461;2;1;1;3;Meal Plan 1;0;Room_Type 1;47;2018;3;28;Online;0;0;0;101.15;2;0
INN14915;2;0;0;3;Meal Plan 3;0;Room_Type 7;1;2018;6;21;Complementary;0;0;0;0.0;1;0
INN26703;2;0;2;5;Meal Plan 1;0;Room_Type 1;120;2018;4;7;Online;0;0;0;89.74;0;0
INN11811;2;0;0;3;Meal Plan 1;0;Room_Type 1;163;2018;9;8;Offline;0;0;0;110.0;0;1
INN03226;2;0;0;2;Meal Plan 1;0;Room_Type 1;122;2018;4;15;Offline;0;0;0;85.0;0;0
INN08093;2;0;0;3;Meal Plan 1;0;Room_Type 1;105;2018;10;12;Offline;0;0;0;75.0;0;0
INN17742;2;0;2;4;Meal Plan 1;0;Room_Type 1;179;2018;7;23;Online;0;0;0;90.95;1;0
INN20176;1;0;0;1;Meal Plan 2;0;Room_Type 1;221;2018;8;12;Offline;0;0;0;73.0;0;0
INN07799;2;0;1;2;Meal Plan 1;0;Room_Type 1;0;2017;8;21;Online;0;0;0;124.0;0;1
INN08998;2;0;0;1;Meal Plan 1;0;Room_Type 5;0;2018;2;10;Complementary;0;0;0;0.0;2;0
INN12887;2;0;0;4;Meal Plan 1;0;Room_Type 1;7;2017;8;26;Online;0;0;0;90.0;2;0
INN04944;2;0;2;3;Meal Plan 1;0;Room_Type 4;49;2017;11;12;Offline;0;0;0;60.0;0;0
INN07777;2;0;0;5;Meal Plan 1;0;Room_Type 1;140;2017;12;29;Offline;0;0;0;70.0;0;0
INN14202;2;2;2;1;Meal Plan 1;0;Room_Type 6;83;2018;2;28;Offline;0;0;0;129.5;0;0
INN17975;2;0;2;5;Meal Plan 1;0;Room_Type 1;49;2018;11;14;Offline;0;0;0;80.0;0;1
INN15490;2;0;0;3;Meal Plan 1;0;Room_Type 1;178;2018;8;25;Online;0;0;0;96.3;0;1
INN07997;2;0;2;0;Meal Plan 2;0;Room_Type 1;386;2018;10;23;Offline;0;0;0;115.0;1;1
INN03141;2;0;0;4;Meal Plan 2;0;Room_Type 1;323;2018;5;17;Online;0;0;0;112.0;1;1
INN12473;2;1;0;1;Meal Plan 1;0;Room_Type 4;10;2018;6;14;Online;0;0;0;119.0;0;1
INN05339;2;0;2;3;Meal Plan 1;1;Room_Type 1;169;2018;7;30;Online;0;0;0;101.25;2;1
INN34174;2;0;1;3;Not Selected;0;Room_Type 1;205;2018;8;22;Online;0;0;0;89.25;1;0
INN25143;2;0;1;0;Meal Plan 1;0;Room_Type 1;13;2018;3;20;Offline;0;0;0;85.0;1;0
INN30323;2;0;0;2;Meal Plan 1;0;Room_Type 4;86;2018;5;26;Online;0;0;0;140.4;0;1
INN16932;1;0;0;3;Meal Plan 1;0;Room_Type 1;71;2018;6;14;Offline;0;0;0;120.0;0;0
INN07119;2;0;2;2;Meal Plan 1;0;Room_Type 4;45;2017;10;16;Online;0;0;0;78.54;2;0
INN34050;2;0;0;5;Meal Plan 1;0;Room_Type 1;67;2018;12;20;Online;0;0;0;64.67;1;0
INN06938;1;0;0;1;Meal Plan 1;0;Room_Type 1;43;2017;10;13;Offline;0;0;0;75.0;0;0
INN16411;2;0;1;3;Not Selected;0;Room_Type 1;169;2018;7;25;Online;0;0;0;89.25;1;0
INN17452;1;0;1;2;Meal Plan 1;0;Room_Type 1;0;2018;8;29;Corporate;1;3;42;65.0;0;0
INN03919;2;0;2;2;Meal Plan 1;0;Room_Type 2;89;2018;10;8;Online;0;0;0;108.0;3;0
INN29063;2;0;0;2;Meal Plan 2;0;Room_Type 4;40;2018;6;9;Online;0;0;0;165.6;0;1
INN22989;2;0;2;2;Meal Plan 1;0;Room_Type 1;47;2018;1;31;Online;0;0;0;58.94;2;0
INN05530;1;0;0;1;Meal Plan 1;0;Room_Type 4;6;2018;11;9;Corporate;1;0;5;94.0;1;0
INN23063;2;0;2;5;Meal Plan 1;0;Room_Type 5;32;2018;9;13;Online;0;0;0;137.52;1;0
INN05399;1;0;1;2;Meal Plan 1;0;Room_Type 1;10;2018;10;14;Online;0;0;0;119.0;0;1
INN11361;2;0;2;1;Meal Plan 2;0;Room_Type 1;150;2018;1;2;Offline;0;0;0;101.0;0;0
INN14381;2;0;2;1;Meal Plan 2;0;Room_Type 4;18;2018;9;11;Online;0;0;0;137.57;1;0
INN17286;2;0;0;2;Meal Plan 1;0;Room_Type 1;71;2018;9;20;Offline;0;0;0;80.75;0;0
INN24466;1;0;1;3;Meal Plan 1;0;Room_Type 1;118;2018;6;6;Offline;0;0;0;110.0;0;0
INN25798;2;0;0;4;Not Selected;0;Room_Type 1;37;2018;3;1;Online;0;0;0;73.1;2;0
INN32068;2;2;0;1;Meal Plan 1;0;Room_Type 6;14;2018;12;2;Online;0;0;0;174.0;0;0
INN10741;2;0;1;1;Meal Plan 1;0;Room_Type 4;44;2018;6;18;Offline;0;0;0;96.3;0;0
INN21231;1;0;0;2;Meal Plan 1;0;Room_Type 1;26;2018;11;16;Corporate;0;0;0;77.0;0;0
INN16822;2;1;0;2;Meal Plan 1;0;Room_Type 1;91;2018;5;13;Online;0;0;0;185.85;0;1
INN08321;2;0;1;4;Meal Plan 1;0;Room_Type 4;51;2017;11;4;Online;0;0;0;102.6;1;0
INN15700;1;0;2;0;Meal Plan 1;0;Room_Type 1;13;2018;6;12;Online;0;0;0;115.0;0;1
INN11113;1;0;0;4;Meal Plan 2;0;Room_Type 1;33;2017;10;21;Offline;0;0;0;79.11;0;0
INN23328;2;0;0;3;Not Selected;0;Room_Type 1;34;2018;10;26;Online;0;0;0;109.0;3;0
INN05270;2;0;2;4;Meal Plan 1;0;Room_Type 1;26;2017;9;19;Online;0;0;0;119.87;1;1
INN01862;2;0;2;3;Not Selected;0;Room_Type 2;34;2017;10;15;Online;0;0;0;94.3;0;0
INN10892;1;0;0;2;Meal Plan 1;0;Room_Type 1;103;2018;4;19;Offline;0;0;0;115.0;0;1
INN36166;1;0;1;2;Meal Plan 1;0;Room_Type 1;2;2017;11;9;Complementary;0;0;0;79.0;0;0
INN17489;2;0;1;0;Meal Plan 1;0;Room_Type 1;12;2017;10;4;Offline;0;0;0;72.0;0;0
INN24701;2;0;0;2;Meal Plan 1;0;Room_Type 1;43;2018;5;24;Online;0;0;0;126.9;1;0
INN27058;1;0;0;1;Meal Plan 1;1;Room_Type 1;1;2018;11;22;Corporate;1;0;1;88.0;0;0
INN09226;2;0;2;7;Meal Plan 1;0;Room_Type 1;80;2017;7;31;Online;0;0;0;63.46;0;0
INN00002;2;0;2;3;Not Selected;0;Room_Type 1;5;2018;11;6;Online;0;0;0;106.68;1;0
INN02707;2;0;1;2;Meal Plan 1;0;Room_Type 1;20;2018;11;14;Online;0;0;0;104.0;2;0
INN21088;2;0;2;2;Meal Plan 1;0;Room_Type 4;51;2018;5;13;Online;0;0;0;140.4;0;1
INN24903;2;0;0;1;Meal Plan 1;0;Room_Type 1;0;2017;9;17;Complementary;0;0;0;0.0;0;0
INN13328;2;0;2;1;Meal Plan 1;0;Room_Type 1;7;2018;1;16;Online;0;0;0;78.3;0;0
INN21710;2;0;1;2;Not Selected;0;Room_Type 1;146;2018;5;30;Online;0;0;0;94.8;1;1
INN10692;2;0;2;2;Meal Plan 1;0;Room_Type 4;69;2018;4;23;Online;0;0;0;107.95;0;0
INN09197;2;0;2;3;Not Selected;0;Room_Type 1;28;2018;10;29;Online;0;0;0;103.4;2;0
INN06958;1;0;0;1;Meal Plan 1;0;Room_Type 1;2;2018;10;13;Offline;0;0;0;109.65;0;0
INN23714;2;0;0;1;Meal Plan 1;0;Room_Type 4;11;2018;4;7;Offline;0;0;0;92.8;0;0
INN35535;2;0;0;3;Meal Plan 1;0;Room_Type 1;160;2017;12;30;Offline;0;0;0;70.67;0;0
INN02156;2;0;2;0;Meal Plan 1;0;Room_Type 1;0;2017;10;4;Online;0;0;0;126.0;0;0
INN33837;2;0;2;3;Meal Plan 1;0;Room_Type 1;134;2018;5;29;Online;0;0;0;76.84;1;0
INN04012;1;0;0;3;Meal Plan 1;0;Room_Type 1;13;2017;8;20;Online;0;0;0;80.0;1;1
INN35331;2;0;2;2;Meal Plan 1;0;Room_Type 1;119;2018;8;12;Online;0;0;0;114.3;1;0
INN00535;2;0;0;2;Meal Plan 1;0;Room_Type 4;5;2018;6;21;Online;0;0;0;156.0;1;0
INN11963;2;0;2;4;Meal Plan 1;0;Room_Type 1;3;2018;5;29;Online;0;0;0;113.46;2;0
INN28537;2;0;2;3;Meal Plan 1;0;Room_Type 5;5;2018;7;17;Corporate;0;0;0;143.0;1;1
INN05824;3;0;0;1;Meal Plan 1;0;Room_Type 4;117;2018;10;29;Online;0;0;0;123.3;0;0
INN16970;1;0;0;3;Not Selected;0;Room_Type 1;25;2018;5;10;Online;0;0;0;129.0;0;0
INN11876;2;0;0;3;Meal Plan 1;0;Room_Type 4;72;2018;6;1;Online;0;0;0;108.11;0;0
INN12353;2;0;1;2;Meal Plan 1;0;Room_Type 1;32;2018;2;26;Offline;0;0;0;62.0;2;0
INN15324;2;0;0;4;Not Selected;0;Room_Type 1;178;2018;8;10;Online;0;0;0;89.25;0;1
INN33276;2;0;0;3;Meal Plan 1;0;Room_Type 1;193;2017;10;15;Offline;0;0;0;65.0;0;1
INN23066;2;0;0;2;Meal Plan 2;0;Room_Type 1;63;2017;9;4;Offline;0;0;0;116.0;0;0
INN30883;2;0;0;2;Meal Plan 1;0;Room_Type 1;14;2018;1;27;Online;0;0;0;81.9;1;0
INN35221;3;0;0;3;Meal Plan 1;0;Room_Type 4;125;2018;12;27;Online;0;0;0;138.3;0;1
INN08684;2;0;2;2;Meal Plan 1;0;Room_Type 1;99;2017;10;30;Offline;0;0;0;65.0;0;1
INN09744;1;0;0;1;Not Selected;0;Room_Type 1;196;2018;10;1;Online;0;0;0;93.6;1;1
INN14261;1;0;0;1;Not Selected;0;Room_Type 1;14;2018;11;2;Online;0;0;0;109.0;1;0
INN15125;2;0;0;3;Meal Plan 1;0;Room_Type 1;259;2018;5;5;Offline;0;0;0;90.0;0;1
INN33924;2;0;0;1;Not Selected;0;Room_Type 1;0;2018;4;8;Online;0;0;0;53.3;0;0
INN09089;2;0;1;3;Meal Plan 1;0;Room_Type 1;11;2018;1;4;Offline;0;0;0;70.0;0;0
INN16563;2;0;1;3;Not Selected;0;Room_Type 1;4;2018;9;15;Online;0;0;0;108.99;1;0
INN06465;2;0;2;0;Meal Plan 1;0;Room_Type 4;43;2018;2;28;Online;0;0;0;90.9;0;1
INN26533;2;0;2;2;Meal Plan 1;0;Room_Type 1;86;2018;3;20;Online;0;0;0;73.95;0;0
INN02758;2;0;0;4;Meal Plan 1;0;Room_Type 1;20;2017;9;2;Online;0;0;0;80.85;2;0
INN28125;2;0;1;4;Meal Plan 1;0;Room_Type 1;75;2018;4;4;Online;0;0;0;87.55;1;0
INN23381;2;0;0;1;Meal Plan 1;0;Room_Type 1;22;2017;10;9;Online;0;0;0;82.39;2;0
INN29492;2;0;1;2;Meal Plan 1;0;Room_Type 1;119;2018;4;29;Online;0;0;0;99.3;1;0
INN18301;2;0;0;2;Meal Plan 1;0;Room_Type 1;31;2017;9;15;Online;0;0;0;94.5;1;0
INN27762;2;0;0;1;Meal Plan 1;1;Room_Type 4;238;2018;6;18;Online;0;0;0;115.2;1;1
INN35217;1;0;2;2;Meal Plan 1;0;Room_Type 1;105;2018;10;30;Online;0;0;0;85.05;0;1
INN26082;2;0;0;1;Not Selected;0;Room_Type 1;244;2018;9;29;Online;0;0;0;89.4;2;1
INN08108;2;0;2;0;Meal Plan 1;0;Room_Type 1;146;2018;4;24;Offline;0;0;0;95.0;0;1
INN14905;2;0;2;0;Meal Plan 1;0;Room_Type 1;71;2018;10;30;Online;0;0;0;75.54;1;0
INN35828;2;0;2;3;Meal Plan 1;0;Room_Type 1;87;2017;7;26;Online;0;0;0;58.9;0;1
INN01911;2;0;0;4;Not Selected;0;Room_Type 1;97;2018;9;6;Online;0;0;0;125.1;1;0
INN15928;2;0;0;1;Meal Plan 1;0;Room_Type 1;56;2018;6;8;Offline;0;0;0;120.0;0;0
INN28611;2;0;0;2;Not Selected;0;Room_Type 1;0;2018;11;4;Online;0;0;0;149.0;1;0
INN34411;1;0;2;5;Meal Plan 1;0;Room_Type 1;66;2018;12;23;Offline;0;0;0;63.75;1;0
INN30518;1;0;1;2;Meal Plan 1;0;Room_Type 1;279;2018;10;10;Offline;0;0;0;76.5;1;0
INN17518;1;0;2;3;Meal Plan 1;0;Room_Type 4;37;2018;10;2;Online;0;0;0;125.55;0;1
INN32319;2;0;2;4;Not Selected;0;Room_Type 1;83;2018;11;9;Online;0;0;0;120.15;2;0
INN31830;2;0;1;0;Meal Plan 1;0;Room_Type 2;7;2017;12;20;Online;0;0;0;77.25;0;0
INN27095;3;0;2;1;Meal Plan 1;0;Room_Type 4;128;2018;10;29;Online;0;0;0;123.3;1;1
INN20878;2;0;2;0;Meal Plan 1;0;Room_Type 1;4;2018;2;7;Offline;0;0;0;87.0;0;0
INN01318;2;0;1;3;Meal Plan 1;0;Room_Type 1;21;2018;8;29;Online;0;0;0;124.25;3;0
INN04369;2;0;1;2;Not Selected;0;Room_Type 1;3;2017;9;21;Online;0;0;0;133.0;2;0
INN08314;2;0;0;2;Meal Plan 1;0;Room_Type 1;13;2018;1;15;Online;0;0;0;89.0;2;0
INN20215;1;0;1;3;Meal Plan 1;0;Room_Type 1;118;2018;6;6;Offline;0;0;0;110.0;0;0
INN27026;2;0;0;3;Meal Plan 1;0;Room_Type 4;192;2018;9;15;Online;0;0;0;140.4;2;1
INN30425;2;1;1;3;Meal Plan 1;0;Room_Type 1;8;2018;2;18;Offline;0;0;0;72.0;1;0
INN23710;2;0;4;10;Not Selected;0;Room_Type 1;116;2018;4;26;Online;0;0;0;86.21;0;1
INN13855;2;0;0;2;Not Selected;0;Room_Type 1;49;2018;11;3;Online;0;0;0;79.2;2;0
INN06081;2;0;2;0;Meal Plan 2;0;Room_Type 1;386;2018;10;23;Online;0;0;0;109.0;0;1
INN30948;2;0;2;1;Meal Plan 1;0;Room_Type 4;4;2018;12;3;Offline;1;0;1;12.0;2;0
INN02602;2;0;1;0;Meal Plan 1;0;Room_Type 1;263;2017;9;21;Offline;0;0;0;67.0;0;0
INN06569;1;0;1;1;Meal Plan 1;0;Room_Type 1;18;2018;5;9;Offline;0;0;0;88.8;0;0
INN26099;2;0;2;1;Meal Plan 2;0;Room_Type 1;5;2017;8;15;Offline;0;0;0;94.5;0;0
INN28061;2;0;0;2;Meal Plan 2;0;Room_Type 1;39;2017;8;14;Offline;0;0;0;101.5;0;0
INN18558;2;0;0;2;Meal Plan 1;0;Room_Type 1;4;2018;2;4;Online;0;0;0;72.07;1;0
INN11476;2;0;2;2;Not Selected;0;Room_Type 1;21;2017;12;18;Online;0;0;0;60.0;0;0
INN12747;2;0;0;2;Not Selected;0;Room_Type 1;70;2018;3;9;Online;0;0;0;67.5;1;1
INN19990;2;0;0;1;Meal Plan 1;0;Room_Type 1;7;2018;8;20;Online;0;0;0;130.0;2;0
INN13277;3;0;0;4;Meal Plan 1;0;Room_Type 4;27;2018;12;7;Online;0;0;0;171.44;1;0
INN22814;2;0;0;3;Meal Plan 1;0;Room_Type 4;120;2018;9;28;Offline;0;0;0;108.57;0;0
INN29246;3;0;1;2;Meal Plan 1;0;Room_Type 4;57;2018;4;22;Online;0;0;0;137.7;2;0
INN25187;2;0;1;3;Meal Plan 2;0;Room_Type 1;4;2018;3;7;Offline;0;0;0;106.0;0;0
INN07996;2;0;0;2;Not Selected;0;Room_Type 1;46;2018;3;4;Online;0;0;0;67.5;0;1
INN09143;2;0;1;5;Meal Plan 1;0;Room_Type 1;144;2018;7;25;Online;0;0;0;100.87;1;0
INN03769;1;0;2;0;Meal Plan 1;0;Room_Type 1;95;2018;11;20;Online;0;0;0;90.0;2;1
INN05078;2;0;0;2;Meal Plan 1;1;Room_Type 1;1;2018;5;6;Online;0;0;0;158.0;0;0
INN24659;1;0;0;1;Meal Plan 1;0;Room_Type 1;5;2017;10;21;Online;0;0;0;0.0;0;0
INN28615;1;0;1;0;Meal Plan 1;0;Room_Type 1;1;2018;10;17;Online;0;0;0;150.0;2;0
INN35390;2;0;2;0;Meal Plan 1;0;Room_Type 1;128;2018;6;26;Online;0;0;0;96.3;1;0
INN09600;2;0;0;1;Meal Plan 1;0;Room_Type 1;54;2018;11;12;Offline;0;0;0;72.0;0;0
INN04632;2;0;1;3;Meal Plan 2;0;Room_Type 1;46;2018;12;5;Offline;0;0;0;98.0;0;0
INN30613;1;0;0;1;Meal Plan 1;0;Room_Type 1;8;2018;3;2;Online;0;0;0;86.0;0;0
INN00241;2;0;2;4;Not Selected;0;Room_Type 1;79;2018;6;16;Online;0;0;0;120.6;0;0
INN16054;2;0;2;1;Meal Plan 1;0;Room_Type 4;24;2018;12;31;Online;0;0;0;137.33;1;0
INN15425;1;0;0;2;Meal Plan 1;0;Room_Type 4;7;2018;9;21;Corporate;1;0;1;119.0;1;0
INN29512;2;0;2;2;Meal Plan 1;0;Room_Type 1;134;2017;12;4;Offline;0;0;0;65.0;0;0
INN12198;2;0;2;1;Meal Plan 1;0;Room_Type 1;0;2017;8;15;Online;0;0;0;90.0;0;0
INN34930;2;0;0;1;Not Selected;0;Room_Type 1;2;2017;12;24;Online;0;0;0;67.5;1;0
INN27156;2;1;0;2;Meal Plan 2;0;Room_Type 1;2;2018;2;5;Online;0;0;0;159.5;2;0
INN32229;1;0;1;0;Meal Plan 1;0;Room_Type 1;0;2018;6;12;Offline;0;0;0;76.5;0;0
INN11462;2;1;2;3;Meal Plan 1;1;Room_Type 1;169;2018;8;14;Online;0;0;0;134.52;2;1
INN27315;2;0;0;3;Not Selected;0;Room_Type 1;122;2018;5;17;Online;0;0;0;94.5;0;0
INN23987;2;0;1;2;Meal Plan 1;0;Room_Type 1;150;2018;4;22;Online;0;0;0;96.3;3;0
INN07466;2;0;0;0;Meal Plan 1;0;Room_Type 1;0;2018;6;22;Complementary;0;0;0;0.0;1;0
INN01868;1;0;1;0;Not Selected;0;Room_Type 1;4;2018;5;23;Offline;0;0;0;144.0;0;0
INN30697;2;0;0;2;Meal Plan 2;0;Room_Type 1;39;2017;8;14;Offline;0;0;0;101.5;0;0
INN18953;2;1;1;5;Meal Plan 1;0;Room_Type 6;122;2018;5;30;Online;0;0;0;187.85;3;0
INN30590;2;1;2;0;Not Selected;0;Room_Type 1;68;2018;9;4;Online;0;0;0;87.3;2;0
INN02522;2;0;1;2;Meal Plan 2;1;Room_Type 1;15;2018;2;12;Offline;0;0;0;111.8;0;0
INN32504;2;0;0;1;Meal Plan 1;0;Room_Type 1;87;2017;9;11;Corporate;0;0;0;100.0;0;1
INN01821;2;1;0;3;Meal Plan 1;0;Room_Type 1;35;2018;2;24;Online;0;0;0;93.63;1;0
INN02411;2;0;0;2;Meal Plan 2;0;Room_Type 1;39;2017;8;14;Offline;0;0;0;109.0;0;0
INN08244;2;0;1;2;Meal Plan 2;0;Room_Type 1;105;2017;10;12;Offline;0;0;0;110.0;0;1
INN28465;2;1;2;4;Meal Plan 1;0;Room_Type 1;180;2018;7;31;Online;0;0;0;122.25;1;1
INN06638;2;0;0;2;Meal Plan 1;0;Room_Type 1;167;2018;8;5;Online;0;0;0;105.3;2;1
INN21572;2;0;0;3;Meal Plan 1;0;Room_Type 1;148;2018;5;5;Online;0;0;0;105.3;0;0
INN16577;2;0;0;2;Meal Plan 1;0;Room_Type 1;317;2018;9;15;Offline;0;0;0;120.0;0;1
INN28154;2;0;2;3;Meal Plan 1;0;Room_Type 1;276;2018;5;13;Offline;0;0;0;61.0;0;1
INN04566;2;0;1;0;Not Selected;0;Room_Type 1;1;2018;8;7;Online;0;0;0;98.0;1;0
INN14918;2;0;2;5;Meal Plan 2;0;Room_Type 1;19;2018;9;6;Online;0;0;0;162.29;2;0
INN24327;2;0;2;0;Not Selected;0;Room_Type 1;56;2018;4;17;Online;0;0;0;90.0;0;1
INN13930;2;0;1;1;Meal Plan 1;0;Room_Type 1;0;2018;3;19;Online;0;0;0;141.0;1;1
INN34603;2;1;1;2;Meal Plan 1;0;Room_Type 1;81;2018;8;12;Online;0;0;0;134.1;0;1
INN06392;2;0;0;2;Meal Plan 2;0;Room_Type 1;39;2017;8;14;Offline;0;0;0;101.5;0;0
INN02119;2;0;0;2;Not Selected;0;Room_Type 1;53;2018;11;11;Online;0;0;0;79.2;2;0
INN10051;1;0;2;8;Meal Plan 1;0;Room_Type 1;51;2018;2;25;Online;0;0;0;66.3;1;1
INN03780;2;0;0;2;Not Selected;0;Room_Type 1;35;2018;3;16;Online;0;0;0;71.1;1;0
INN35032;2;1;2;5;Not Selected;0;Room_Type 1;101;2018;7;23;Online;0;0;0;92.83;1;0
INN04962;1;0;1;2;Meal Plan 1;0;Room_Type 1;56;2018;11;11;Online;0;0;0;100.67;1;1
INN02810;2;0;1;2;Meal Plan 1;0;Room_Type 1;78;2018;3;25;Online;0;0;0;100.0;0;1
INN00499;2;0;0;1;Meal Plan 2;0;Room_Type 1;55;2018;4;6;Offline;0;0;0;104.0;0;0
INN11446;2;0;2;0;Meal Plan 1;0;Room_Type 4;11;2017;10;4;Online;0;0;0;136.0;1;0
INN00919;1;0;0;2;Meal Plan 1;0;Room_Type 1;86;2017;9;24;Offline;0;0;0;87.5;0;0
INN32755;1;0;1;0;Meal Plan 1;0;Room_Type 1;3;2018;2;15;Corporate;0;0;0;65.0;0;1
INN13391;2;0;0;2;Meal Plan 2;0;Room_Type 1;320;2018;8;18;Offline;0;0;0;115.0;1;1
INN13265;2;0;0;2;Meal Plan 1;1;Room_Type 1;85;2018;4;7;Online;0;0;0;95.5;1;0
INN25002;2;0;1;2;Not Selected;0;Room_Type 1;77;2018;4;1;Online;0;0;0;85.5;0;1
INN04285;2;0;0;2;Meal Plan 1;0;Room_Type 1;0;2017;8;13;Online;0;0;0;85.0;0;0
INN32906;2;0;2;0;Meal Plan 1;0;Room_Type 1;19;2018;2;21;Online;0;0;0;91.0;1;1
INN30990;1;0;0;2;Meal Plan 1;0;Room_Type 1;164;2017;10;2;Offline;0;0;0;100.0;0;0
INN00229;2;1;0;2;Meal Plan 1;0;Room_Type 1;15;2018;3;18;Online;0;0;0;127.0;1;0
INN34212;2;0;1;3;Meal Plan 1;0;Room_Type 1;42;2018;4;21;Online;0;0;0;103.84;1;0
INN32373;2;0;1;2;Meal Plan 1;0;Room_Type 1;5;2017;10;19;Offline;0;0;0;90.0;0;0
INN02742;2;0;0;4;Meal Plan 1;0;Room_Type 1;28;2017;9;22;Online;0;0;0;103.87;1;0
INN13330;1;0;0;1;Meal Plan 1;0;Room_Type 1;34;2017;9;15;Corporate;0;0;0;65.0;0;1
INN11704;2;0;1;2;Not Selected;0;Room_Type 1;27;2017;9;18;Online;0;0;0;115.0;1;0
INN14349;2;0;1;2;Meal Plan 1;1;Room_Type 4;62;2018;9;5;Online;0;0;0;124.5;2;0
INN09272;2;0;0;3;Meal Plan 1;0;Room_Type 1;68;2017;12;30;Online;0;0;0;93.78;0;0
INN31894;1;0;2;1;Meal Plan 1;0;Room_Type 1;116;2018;2;28;Offline;0;0;0;61.0;0;1
INN11114;2;0;0;4;Meal Plan 1;0;Room_Type 1;22;2018;10;25;Online;0;0;0;130.0;1;0
INN06002;2;0;0;2;Meal Plan 1;0;Room_Type 4;55;2018;11;11;Online;0;0;0;106.2;3;0
INN22103;2;0;2;1;Not Selected;0;Room_Type 1;25;2018;10;2;Online;0;0;0;133.0;1;1
INN04898;2;0;0;1;Meal Plan 2;0;Room_Type 1;83;2017;9;30;Offline;0;0;0;112.2;0;0
INN05584;3;0;1;3;Meal Plan 1;0;Room_Type 4;127;2018;7;25;Online;0;0;0;130.05;0;0
INN18750;2;0;0;3;Meal Plan 1;0;Room_Type 1;86;2018;3;23;Offline;0;0;0;40.67;0;0
INN28230;2;0;2;1;Meal Plan 1;0;Room_Type 1;15;2018;7;2;Online;0;0;0;151.0;1;0
INN07868;2;0;2;5;Meal Plan 1;0;Room_Type 1;119;2018;6;1;Online;0;0;0;119.85;1;0
INN28900;2;0;1;2;Meal Plan 1;0;Room_Type 1;79;2018;4;15;Online;0;0;0;96.3;3;0
INN30538;2;0;2;0;Not Selected;0;Room_Type 1;47;2018;9;11;Online;0;0;0;125.1;1;0
INN01129;2;0;1;2;Meal Plan 2;0;Room_Type 1;161;2018;3;25;Online;0;0;0;130.0;0;1
INN32212;2;0;0;3;Meal Plan 1;0;Room_Type 1;52;2018;7;27;Online;0;0;0;135.9;0;1
INN26908;2;0;0;3;Meal Plan 1;0;Room_Type 1;61;2018;12;8;Online;0;0;0;93.6;1;0
INN10401;2;0;0;2;Meal Plan 2;0;Room_Type 1;39;2017;8;14;Offline;0;0;0;101.5;0;0
INN01568;1;0;1;2;Meal Plan 1;0;Room_Type 1;118;2018;6;6;Offline;0;0;0;110.0;0;0
INN10299;2;0;0;2;Not Selected;0;Room_Type 1;38;2018;11;3;Online;0;0;0;88.0;1;1
INN01707;2;0;2;5;Meal Plan 1;0;Room_Type 1;29;2018;1;8;Online;0;0;0;79.54;1;0
INN23835;2;0;0;4;Not Selected;0;Room_Type 1;15;2018;11;1;Online;0;0;0;85.0;1;0
INN03154;4;0;0;3;Meal Plan 1;0;Room_Type 7;109;2018;12;8;Online;0;0;0;182.18;1;0
INN10365;3;0;2;0;Meal Plan 1;0;Room_Type 4;13;2018;7;24;Online;0;0;0;187.0;1;0
INN11524;2;0;1;1;Not Selected;0;Room_Type 1;42;2018;4;11;Online;0;0;0;94.5;0;0
INN07300;1;0;0;1;Meal Plan 1;0;Room_Type 1;0;2018;3;9;Corporate;1;2;24;65.0;1;0
INN00216;1;0;1;1;Not Selected;0;Room_Type 1;13;2018;12;5;Online;0;0;0;88.0;0;0
INN35932;2;0;2;4;Meal Plan 1;0;Room_Type 4;79;2018;6;16;Online;0;0;0;152.4;0;0
INN06241;2;0;0;3;Meal Plan 1;0;Room_Type 1;95;2018;3;22;Offline;0;0;0;38.67;1;0
INN33116;2;0;0;2;Meal Plan 1;0;Room_Type 4;15;2018;4;20;Online;0;0;0;137.0;1;0
INN23489;2;0;2;2;Meal Plan 1;0;Room_Type 1;117;2018;6;5;Offline;0;0;0;110.0;1;0
INN26951;2;0;0;2;Not Selected;0;Room_Type 1;167;2018;7;29;Online;0;0;0;94.5;0;1
INN09825;2;0;2;1;Meal Plan 1;0;Room_Type 1;99;2018;10;16;Online;0;0;0;118.8;1;1
INN02926;2;0;1;0;Meal Plan 1;0;Room_Type 1;286;2018;10;16;Online;0;0;0;90.0;0;1
INN10491;2;0;2;2;Not Selected;0;Room_Type 1;37;2018;12;2;Online;0;0;0;74.8;1;0
INN09638;2;0;0;1;Meal Plan 1;0;Room_Type 1;27;2018;6;9;Offline;0;0;0;120.0;0;0
